region,region_old,district,crop,year,yield_mt_ha,national_avg_yield_mt_ha,potential_yield_mt_ha,rainfall_mm,rainfall_flagged,soil_ph_mid,organic_matter_pct_mid,total_nitrogen_pct_mid,avail_phosphorus_mg_kg_mid,cation_exchange_capacity_mid
EASTERN,EASTERN,UPPER WEST AKIM,CASSAVA,2021,33.1,24.27,45.0,1597.0,False,5.95,4.095,0.185,1.74,4.81
EASTERN,EASTERN,UPPER WEST AKIM,CASSAVA,2022,33.17,24.27,45.0,1389.0,False,5.95,4.095,0.185,1.74,4.81
EASTERN,EASTERN,UPPER WEST AKIM,CASSAVA,2023,33.24,24.27,45.0,1416.0,False,5.95,4.095,0.185,1.74,4.81
AHAFO,BRONG AHAFO,TANO NORTH,COCOYAM,2021,7.59,7.77,20.0,1361.0,False,5.9,6.915,0.26,0.205,4.81
AHAFO,BRONG AHAFO,TANO NORTH,COCOYAM,2022,19.0,7.77,20.0,1229.5,True,5.9,6.915,0.26,0.205,4.81
AHAFO,BRONG AHAFO,TANO NORTH,COCOYAM,2023,13.0,7.77,20.0,1298.0,False,5.9,6.915,0.26,0.205,4.81
EASTERN,EASTERN,ASENE MANSO AKROSO,COCOYAM,2021,9.65,7.77,20.0,1597.0,False,5.95,4.095,0.185,1.74,4.81
EASTERN,EASTERN,ASENE MANSO AKROSO,COCOYAM,2022,9.62,7.77,20.0,1389.0,False,5.95,4.095,0.185,1.74,4.81
EASTERN,EASTERN,ASENE MANSO AKROSO,COCOYAM,2023,9.59,7.77,20.0,1416.0,False,5.95,4.095,0.185,1.74,4.81
EASTERN,EASTERN,ATIWA EAST,COCOYAM,2021,9.97,7.77,20.0,1597.0,False,5.95,4.095,0.185,1.74,4.81
EASTERN,EASTERN,ATIWA EAST,COCOYAM,2022,9.94,7.77,20.0,1389.0,False,5.95,4.095,0.185,1.74,4.81
EASTERN,EASTERN,ATIWA EAST,COCOYAM,2023,9.92,7.77,20.0,1416.0,False,5.95,4.095,0.185,1.74,4.81
EASTERN,EASTERN,ATIWA WEST,COCOYAM,2021,9.94,7.77,20.0,1597.0,False,5.95,4.095,0.185,1.74,4.81
EASTERN,EASTERN,ATIWA WEST,COCOYAM,2022,9.9,7.77,20.0,1389.0,False,5.95,4.095,0.185,1.74,4.81
EASTERN,EASTERN,ATIWA WEST,COCOYAM,2023,9.88,7.77,20.0,1416.0,False,5.95,4.095,0.185,1.74,4.81
EASTERN,EASTERN,AYENSUANO,COCOYAM,2021,9.92,7.77,20.0,1597.0,False,5.95,4.095,0.185,1.74,4.81
EASTERN,EASTERN,AYENSUANO,COCOYAM,2022,9.89,7.77,20.0,1389.0,False,5.95,4.095,0.185,1.74,4.81
EASTERN,EASTERN,AYENSUANO,COCOYAM,2023,9.86,7.77,20.0,1416.0,False,5.95,4.095,0.185,1.74,4.81
EASTERN,EASTERN,BIRIM CENTRAL,COCOYAM,2021,9.75,7.77,20.0,1597.0,False,5.95,4.095,0.185,1.74,4.81
EASTERN,EASTERN,BIRIM CENTRAL,COCOYAM,2022,9.72,7.77,20.0,1389.0,False,5.95,4.095,0.185,1.74,4.81
EASTERN,EASTERN,BIRIM CENTRAL,COCOYAM,2023,9.69,7.77,20.0,1416.0,False,5.95,4.095,0.185,1.74,4.81
EASTERN,EASTERN,FANTEAKWA NORTH,COCOYAM,2021,10.38,7.77,20.0,1597.0,False,5.95,4.095,0.185,1.74,4.81
EASTERN,EASTERN,FANTEAKWA NORTH,COCOYAM,2022,10.35,7.77,20.0,1389.0,False,5.95,4.095,0.185,1.74,4.81
EASTERN,EASTERN,FANTEAKWA NORTH,COCOYAM,2023,10.38,7.77,20.0,1416.0,False,5.95,4.095,0.185,1.74,4.81
EASTERN,EASTERN,FANTEAKWA SOUTH,COCOYAM,2021,10.38,7.77,20.0,1597.0,False,5.95,4.095,0.185,1.74,4.81
EASTERN,EASTERN,FANTEAKWA SOUTH,COCOYAM,2022,10.35,7.77,20.0,1389.0,False,5.95,4.095,0.185,1.74,4.81
EASTERN,EASTERN,FANTEAKWA SOUTH,COCOYAM,2023,10.37,7.77,20.0,1416.0,False,5.95,4.095,0.185,1.74,4.81
WESTERN,WESTERN,AMENFI CENTRAL,COCOYAM,2021,10.99,7.77,20.0,1637.0,False,5.55,7.01,0.185,0.13,0.605
WESTERN,WESTERN,AMENFI CENTRAL,COCOYAM,2022,10.94,7.77,20.0,1390.0,True,5.55,7.01,0.185,0.13,0.605
WESTERN,WESTERN,AMENFI CENTRAL,COCOYAM,2023,11.09,7.77,20.0,2039.0,False,5.55,7.01,0.185,0.13,0.605
WESTERN NORTH,WESTERN,SEFWI WIAWSO,COCOYAM,2021,9.87,7.77,20.0,1637.0,False,5.55,7.01,0.185,0.13,0.605
WESTERN NORTH,WESTERN,SEFWI WIAWSO,COCOYAM,2022,9.92,7.77,20.0,1390.0,True,5.55,7.01,0.185,0.13,0.605
WESTERN NORTH,WESTERN,SEFWI WIAWSO,COCOYAM,2023,9.98,7.77,20.0,1909.0,False,5.55,7.01,0.185,0.13,0.605
NORTHERN,NORTHERN,YENDI,COWPEA,2021,2.29,1.81,2.5,1137.0,False,5.75,3.37,0.07,3.8,3.925
NORTHERN,NORTHERN,YENDI,COWPEA,2022,2.24,1.81,2.5,1076.0,True,5.75,3.37,0.07,3.8,3.925
VOLTA,VOLTA,AGORTIME ZIOPE,COWPEA,2021,2.34,1.81,2.5,1146.0,False,5.95,2.815,0.01,3.31,4.64
VOLTA,VOLTA,AGORTIME ZIOPE,COWPEA,2022,3.81,1.81,2.5,1201.0,True,5.95,2.815,0.01,3.31,4.64
VOLTA,VOLTA,AGORTIME ZIOPE,COWPEA,2023,3.9,1.81,2.5,1450.0,False,5.95,2.815,0.01,3.31,4.64
VOLTA,VOLTA,AKATSI SOUTH,COWPEA,2021,3.43,1.81,2.5,1146.0,False,5.95,2.815,0.01,3.31,4.64
VOLTA,VOLTA,AKATSI SOUTH,COWPEA,2022,3.98,1.81,2.5,1201.0,True,5.95,2.815,0.01,3.31,4.64
VOLTA,VOLTA,AKATSI SOUTH,COWPEA,2023,4.0,1.81,2.5,1450.0,False,5.95,2.815,0.01,3.31,4.64
VOLTA,VOLTA,CENTRAL TONGU,COWPEA,2021,2.2,1.81,2.5,1146.0,False,5.95,2.815,0.01,3.31,4.64
VOLTA,VOLTA,CENTRAL TONGU,COWPEA,2022,3.46,1.81,2.5,1201.0,True,5.95,2.815,0.01,3.31,4.64
VOLTA,VOLTA,CENTRAL TONGU,COWPEA,2023,3.0,1.81,2.5,1450.0,False,5.95,2.815,0.01,3.31,4.64
VOLTA,VOLTA,HO MUNICIPAL,COWPEA,2021,2.0,1.81,2.5,1146.0,False,5.95,2.815,0.01,3.31,4.64
VOLTA,VOLTA,HO MUNICIPAL,COWPEA,2022,3.81,1.81,2.5,1201.0,True,5.95,2.815,0.01,3.31,4.64
VOLTA,VOLTA,HO MUNICIPAL,COWPEA,2023,3.94,1.81,2.5,1450.0,False,5.95,2.815,0.01,3.31,4.64
VOLTA,VOLTA,HO WEST,COWPEA,2021,2.83,1.81,2.5,1146.0,False,5.95,2.815,0.01,3.31,4.64
VOLTA,VOLTA,HO WEST,COWPEA,2022,3.97,1.81,2.5,1201.0,True,5.95,2.815,0.01,3.31,4.64
VOLTA,VOLTA,HO WEST,COWPEA,2023,4.05,1.81,2.5,1450.0,False,5.95,2.815,0.01,3.31,4.64
VOLTA,VOLTA,KETU NORTH,COWPEA,2021,3.84,1.81,2.5,1146.0,False,5.95,2.815,0.01,3.31,4.64
VOLTA,VOLTA,KETU NORTH,COWPEA,2022,4.54,1.81,2.5,1201.0,True,5.95,2.815,0.01,3.31,4.64
VOLTA,VOLTA,KETU NORTH,COWPEA,2023,4.85,1.81,2.5,1450.0,False,5.95,2.815,0.01,3.31,4.64
VOLTA,VOLTA,NORTH TONGU,COWPEA,2021,2.17,1.81,2.5,1146.0,False,5.95,2.815,0.01,3.31,4.64
VOLTA,VOLTA,NORTH TONGU,COWPEA,2022,3.58,1.81,2.5,1201.0,True,5.95,2.815,0.01,3.31,4.64
VOLTA,VOLTA,NORTH TONGU,COWPEA,2023,3.2,1.81,2.5,1450.0,False,5.95,2.815,0.01,3.31,4.64
VOLTA,VOLTA,SOUTH DAYI,COWPEA,2021,1.9,1.81,2.5,1146.0,False,5.95,2.815,0.01,3.31,4.64
VOLTA,VOLTA,SOUTH DAYI,COWPEA,2022,2.89,1.81,2.5,1201.0,True,5.95,2.815,0.01,3.31,4.64
VOLTA,VOLTA,SOUTH DAYI,COWPEA,2023,3.0,1.81,2.5,1450.0,False,5.95,2.815,0.01,3.31,4.64
VOLTA,VOLTA,SOUTH TONGU,COWPEA,2021,2.4,1.81,2.5,1146.0,False,5.95,2.815,0.01,3.31,4.64
VOLTA,VOLTA,SOUTH TONGU,COWPEA,2022,3.64,1.81,2.5,1201.0,True,5.95,2.815,0.01,3.31,4.64
VOLTA,VOLTA,SOUTH TONGU,COWPEA,2023,3.4,1.81,2.5,1450.0,False,5.95,2.815,0.01,3.31,4.64
ASHANTI,ASHANTI,AFIGYA KWABRE,GROUNDNUT,2021,2.53,2.01,3.5,1491.0,False,5.7,6.915,0.26,3.49,4.81
ASHANTI,ASHANTI,AFIGYA KWABRE,GROUNDNUT,2022,2.6,2.01,3.5,1375.0,False,5.7,6.915,0.26,3.49,4.81
ASHANTI,ASHANTI,AFIGYA KWABRE,GROUNDNUT,2023,2.57,2.01,3.5,1624.0,False,5.7,6.915,0.26,3.49,4.81
ASHANTI,ASHANTI,SEKYERE SOUTH,GROUNDNUT,2021,2.42,2.01,3.5,1491.0,False,5.7,6.915,0.26,3.49,4.81
ASHANTI,ASHANTI,SEKYERE SOUTH,GROUNDNUT,2022,2.52,2.01,3.5,1375.0,False,5.7,6.915,0.26,3.49,4.81
ASHANTI,ASHANTI,SEKYERE SOUTH,GROUNDNUT,2023,2.52,2.01,3.5,1624.0,False,5.7,6.915,0.26,3.49,4.81
NORTHEAST,NORTHERN,BUNKPURUGU NAKPANDURI,GROUNDNUT,2021,2.0,2.01,3.5,1137.0,False,5.75,3.37,0.07,3.8,3.925
NORTHEAST,NORTHERN,BUNKPURUGU NAKPANDURI,GROUNDNUT,2022,3.05,2.01,3.5,1076.0,True,5.75,3.37,0.07,3.8,3.925
NORTHEAST,NORTHERN,BUNKPURUGU NAKPANDURI,GROUNDNUT,2023,3.3,2.01,3.5,1150.0,False,5.75,3.37,0.07,3.8,3.925
NORTHERN,NORTHERN,TATALE SANGULI,GROUNDNUT,2021,2.09,2.01,3.5,1137.0,False,5.75,3.37,0.07,3.8,3.925
NORTHERN,NORTHERN,TATALE SANGULI,GROUNDNUT,2022,2.0,2.01,3.5,1076.0,True,5.75,3.37,0.07,3.8,3.925
NORTHERN,NORTHERN,TOLON,GROUNDNUT,2021,2.24,2.01,3.5,1137.0,False,5.75,3.37,0.07,3.8,3.925
NORTHERN,NORTHERN,TOLON,GROUNDNUT,2022,2.0,2.01,3.5,1076.0,True,5.75,3.37,0.07,3.8,3.925
NORTHERN,NORTHERN,TOLON,GROUNDNUT,2023,4.0,2.01,3.5,1115.0,False,5.75,3.37,0.07,3.8,3.925
OTI,VOLTA,NKWANTA SOUTH,GROUNDNUT,2021,2.8,2.01,3.5,1146.0,False,5.95,2.815,0.01,3.31,4.64
OTI,VOLTA,NKWANTA SOUTH,GROUNDNUT,2022,2.4,2.01,3.5,1201.0,True,5.95,2.815,0.01,3.31,4.64
OTI,VOLTA,NKWANTA SOUTH,GROUNDNUT,2023,2.5,2.01,3.5,1401.0,False,5.95,2.815,0.01,3.31,4.64
SAVANNAH,NORTHERN,SAWLA/TUNA/KALBA,GROUNDNUT,2021,2.4,2.01,3.5,1137.0,False,5.75,3.37,0.07,3.8,3.925
SAVANNAH,NORTHERN,SAWLA/TUNA/KALBA,GROUNDNUT,2022,2.9,2.01,3.5,1076.0,True,5.75,3.37,0.07,3.8,3.925
SAVANNAH,NORTHERN,SAWLA/TUNA/KALBA,GROUNDNUT,2023,2.84,2.01,3.5,1536.0,False,5.75,3.37,0.07,3.8,3.925
VOLTA,VOLTA,AFADZATO SOUTH,GROUNDNUT,2022,3.6,2.01,3.5,1201.0,True,5.95,2.815,0.01,3.31,4.64
VOLTA,VOLTA,AFADZATO SOUTH,GROUNDNUT,2023,3.86,2.01,3.5,1450.0,False,5.95,2.815,0.01,3.31,4.64
VOLTA,VOLTA,HO MUNICIPAL,GROUNDNUT,2021,1.8,2.01,3.5,1146.0,False,5.95,2.815,0.01,3.31,4.64
VOLTA,VOLTA,HO MUNICIPAL,GROUNDNUT,2022,3.3,2.01,3.5,1201.0,True,5.95,2.815,0.01,3.31,4.64
VOLTA,VOLTA,HO MUNICIPAL,GROUNDNUT,2023,3.9,2.01,3.5,1450.0,False,5.95,2.815,0.01,3.31,4.64
VOLTA,VOLTA,KETA MUNICIPAL,GROUNDNUT,2021,3.34,2.01,3.5,1146.0,False,5.95,2.815,0.01,3.31,4.64
VOLTA,VOLTA,KETA MUNICIPAL,GROUNDNUT,2022,4.83,2.01,3.5,1201.0,True,5.95,2.815,0.01,3.31,4.64
VOLTA,VOLTA,KETA MUNICIPAL,GROUNDNUT,2023,4.91,2.01,3.5,1450.0,False,5.95,2.815,0.01,3.31,4.64
ASHANTI,ASHANTI,AMANSIE WEST,MAIZE,2021,4.3,2.6,5.5,1491.0,False,5.7,6.915,0.26,3.49,4.81
ASHANTI,ASHANTI,AMANSIE WEST,MAIZE,2022,4.39,2.6,5.5,1375.0,False,5.7,6.915,0.26,3.49,4.81
ASHANTI,ASHANTI,AMANSIE WEST,MAIZE,2023,4.52,2.6,5.5,1624.0,False,5.7,6.915,0.26,3.49,4.81
ASHANTI,ASHANTI,ATWIMA MPONUA,MAIZE,2021,3.96,2.6,5.5,1491.0,False,5.7,6.915,0.26,3.49,4.81
ASHANTI,ASHANTI,ATWIMA MPONUA,MAIZE,2022,3.95,2.6,5.5,1375.0,False,5.7,6.915,0.26,3.49,4.81
ASHANTI,ASHANTI,ATWIMA MPONUA,MAIZE,2023,4.3,2.6,5.5,1624.0,False,5.7,6.915,0.26,3.49,4.81
ASHANTI,ASHANTI,BEKWAI (AMANSIE EAST),MAIZE,2021,3.95,2.6,5.5,1491.0,False,5.7,6.915,0.26,3.49,4.81
ASHANTI,ASHANTI,BEKWAI (AMANSIE EAST),MAIZE,2022,3.9,2.6,5.5,1375.0,False,5.7,6.915,0.26,3.49,4.81
ASHANTI,ASHANTI,BEKWAI (AMANSIE EAST),MAIZE,2023,4.05,2.6,5.5,1624.0,False,5.7,6.915,0.26,3.49,4.81
CENTRAL,CENTRAL,AGONA EAST,MAIZE,2021,3.19,2.6,5.5,1381.0,False,6.05,2.15,0.185,4.9,1.2
CENTRAL,CENTRAL,AGONA EAST,MAIZE,2022,4.04,2.6,5.5,960.0,False,6.05,2.15,0.185,4.9,1.2
CENTRAL,CENTRAL,AGONA EAST,MAIZE,2023,4.98,2.6,5.5,1635.0,False,6.05,2.15,0.185,4.9,1.2
CENTRAL,CENTRAL,ASSIN CENTRAL,MAIZE,2021,3.24,2.6,5.5,1381.0,False,6.05,2.15,0.185,4.9,1.2
CENTRAL,CENTRAL,ASSIN CENTRAL,MAIZE,2022,4.0,2.6,5.5,960.0,False,6.05,2.15,0.185,4.9,1.2
CENTRAL,CENTRAL,ASSIN CENTRAL,MAIZE,2023,4.9,2.6,5.5,1635.0,False,6.05,2.15,0.185,4.9,1.2
CENTRAL,CENTRAL,AWUTU-SENYA WEST,MAIZE,2021,3.41,2.6,5.5,1381.0,False,6.05,2.15,0.185,4.9,1.2
CENTRAL,CENTRAL,AWUTU-SENYA WEST,MAIZE,2022,4.6,2.6,5.5,960.0,False,6.05,2.15,0.185,4.9,1.2
CENTRAL,CENTRAL,AWUTU-SENYA WEST,MAIZE,2023,3.55,2.6,5.5,1635.0,False,6.05,2.15,0.185,4.9,1.2
CENTRAL,CENTRAL,TWIFO ATTI MORKWA,MAIZE,2021,3.6,2.6,5.5,1381.0,False,6.05,2.15,0.185,4.9,1.2
CENTRAL,CENTRAL,TWIFO ATTI MORKWA,MAIZE,2022,3.95,2.6,5.5,960.0,False,6.05,2.15,0.185,4.9,1.2
CENTRAL,CENTRAL,TWIFO ATTI MORKWA,MAIZE,2023,4.2,2.6,5.5,1635.0,False,6.05,2.15,0.185,4.9,1.2
GREATER ACCRA,GREATER ACCRA,AMA,MAIZE,2021,3.75,2.6,5.5,514.0,False,6.95,2.0,0.16,3.31,4.64
GREATER ACCRA,GREATER ACCRA,AMA,MAIZE,2022,4.2,2.6,5.5,679.0,False,6.95,2.0,0.16,3.31,4.64
OTI,VOLTA,BIAKOYE,MAIZE,2021,3.9,2.6,5.5,1146.0,False,5.95,2.815,0.01,3.31,4.64
OTI,VOLTA,BIAKOYE,MAIZE,2022,3.7,2.6,5.5,1201.0,True,5.95,2.815,0.01,3.31,4.64
OTI,VOLTA,BIAKOYE,MAIZE,2023,3.9,2.6,5.5,1401.0,False,5.95,2.815,0.01,3.31,4.64
WESTERN,WESTERN,AHANTA WEST,MAIZE,2021,3.83,2.6,5.5,1637.0,False,5.55,7.01,0.185,0.13,0.605
WESTERN,WESTERN,AHANTA WEST,MAIZE,2022,3.82,2.6,5.5,1390.0,True,5.55,7.01,0.185,0.13,0.605
WESTERN,WESTERN,AHANTA WEST,MAIZE,2023,4.01,2.6,5.5,2039.0,False,5.55,7.01,0.185,0.13,0.605
NORTHEAST,NORTHERN,BUNKPURUGU NAKPANDURI,MILLET,2021,2.26,1.77,2.0,1137.0,False,5.75,3.37,0.07,3.8,3.925
NORTHEAST,NORTHERN,BUNKPURUGU NAKPANDURI,MILLET,2022,2.55,1.77,2.0,1076.0,True,5.75,3.37,0.07,3.8,3.925
NORTHEAST,NORTHERN,BUNKPURUGU NAKPANDURI,MILLET,2023,2.7,1.77,2.0,1150.0,False,5.75,3.37,0.07,3.8,3.925
NORTHERN,NORTHERN,GUSHIEGU,MILLET,2021,1.88,1.77,2.0,1137.0,False,5.75,3.37,0.07,3.8,3.925
NORTHERN,NORTHERN,GUSHIEGU,MILLET,2022,2.2,1.77,2.0,1076.0,True,5.75,3.37,0.07,3.8,3.925
NORTHERN,NORTHERN,GUSHIEGU,MILLET,2023,2.3,1.77,2.0,1115.0,False,5.75,3.37,0.07,3.8,3.925
NORTHERN,NORTHERN,SABOBA,MILLET,2021,2.5,1.77,2.0,1137.0,False,5.75,3.37,0.07,3.8,3.925
NORTHERN,NORTHERN,SABOBA,MILLET,2022,2.2,1.77,2.0,1076.0,True,5.75,3.37,0.07,3.8,3.925
NORTHERN,NORTHERN,SABOBA,MILLET,2023,2.52,1.77,2.0,1115.0,False,5.75,3.37,0.07,3.8,3.925
NORTHERN,NORTHERN,TATALE SANGULI,MILLET,2021,2.4,1.77,2.0,1137.0,False,5.75,3.37,0.07,3.8,3.925
NORTHERN,NORTHERN,TATALE SANGULI,MILLET,2022,2.0,1.77,2.0,1076.0,True,5.75,3.37,0.07,3.8,3.925
NORTHERN,NORTHERN,TATALE SANGULI,MILLET,2023,1.91,1.77,2.0,1115.0,False,5.75,3.37,0.07,3.8,3.925
NORTHERN,NORTHERN,ZABZUGU,MILLET,2021,2.5,1.77,2.0,1137.0,False,5.75,3.37,0.07,3.8,3.925
NORTHERN,NORTHERN,ZABZUGU,MILLET,2022,2.2,1.77,2.0,1076.0,True,5.75,3.37,0.07,3.8,3.925
NORTHERN,NORTHERN,ZABZUGU,MILLET,2023,4.2,1.77,2.0,1115.0,False,5.75,3.37,0.07,3.8,3.925
SAVANNAH,NORTHERN,NORTH GONJA,MILLET,2021,1.9,1.77,2.0,1137.0,False,5.75,3.37,0.07,3.8,3.925
SAVANNAH,NORTHERN,NORTH GONJA,MILLET,2022,2.8,1.77,2.0,1076.0,True,5.75,3.37,0.07,3.8,3.925
SAVANNAH,NORTHERN,NORTH GONJA,MILLET,2023,2.84,1.77,2.0,1536.0,False,5.75,3.37,0.07,3.8,3.925
SAVANNAH,NORTHERN,SAWLA/TUNA/KALBA,MILLET,2021,2.1,1.77,2.0,1137.0,False,5.75,3.37,0.07,3.8,3.925
SAVANNAH,NORTHERN,SAWLA/TUNA/KALBA,MILLET,2022,2.2,1.77,2.0,1076.0,True,5.75,3.37,0.07,3.8,3.925
SAVANNAH,NORTHERN,SAWLA/TUNA/KALBA,MILLET,2023,2.31,1.77,2.0,1536.0,False,5.75,3.37,0.07,3.8,3.925
UPPER WEST,UPPER WEST,LAWRA,MILLET,2021,2.1,1.77,2.0,1184.0,False,5.95,3.755,0.035,1.81,2.395
UPPER WEST,UPPER WEST,LAWRA,MILLET,2022,2.15,1.77,2.0,1314.3,False,5.95,3.755,0.035,1.81,2.395
UPPER WEST,UPPER WEST,LAWRA,MILLET,2023,2.16,1.77,2.0,1273.0,False,5.95,3.755,0.035,1.81,2.395
UPPER WEST,UPPER WEST,SISSALA EAST,MILLET,2021,2.4,1.77,2.0,1184.0,False,5.95,3.755,0.035,1.81,2.395
UPPER WEST,UPPER WEST,SISSALA EAST,MILLET,2022,2.42,1.77,2.0,1314.3,False,5.95,3.755,0.035,1.81,2.395
UPPER WEST,UPPER WEST,SISSALA EAST,MILLET,2023,2.43,1.77,2.0,1273.0,False,5.95,3.755,0.035,1.81,2.395
UPPER WEST,UPPER WEST,SISSALA WEST,MILLET,2021,2.1,1.77,2.0,1184.0,False,5.95,3.755,0.035,1.81,2.395
UPPER WEST,UPPER WEST,SISSALA WEST,MILLET,2022,2.2,1.77,2.0,1314.3,False,5.95,3.755,0.035,1.81,2.395
UPPER WEST,UPPER WEST,SISSALA WEST,MILLET,2023,2.3,1.77,2.0,1273.0,False,5.95,3.755,0.035,1.81,2.395
AHAFO,BRONG AHAFO,ASUNAFO NORTH,PLANTAIN,2021,14.1,14.53,38.0,1361.0,False,5.9,6.915,0.26,0.205,4.81
AHAFO,BRONG AHAFO,ASUNAFO NORTH,PLANTAIN,2022,20.33,14.53,38.0,1229.5,True,5.9,6.915,0.26,0.205,4.81
AHAFO,BRONG AHAFO,ASUNAFO NORTH,PLANTAIN,2023,20.48,14.53,38.0,1298.0,False,5.9,6.915,0.26,0.205,4.81
AHAFO,BRONG AHAFO,ASUNAFO SOUTH,PLANTAIN,2021,15.85,14.53,38.0,1361.0,False,5.9,6.915,0.26,0.205,4.81
AHAFO,BRONG AHAFO,ASUNAFO SOUTH,PLANTAIN,2022,18.14,14.53,38.0,1229.5,True,5.9,6.915,0.26,0.205,4.81
AHAFO,BRONG AHAFO,ASUNAFO SOUTH,PLANTAIN,2023,19.2,14.53,38.0,1298.0,False,5.9,6.915,0.26,0.205,4.81
AHAFO,BRONG AHAFO,ASUTIFI SOUTH,PLANTAIN,2021,19.8,14.53,38.0,1361.0,False,5.9,6.915,0.26,0.205,4.81
AHAFO,BRONG AHAFO,ASUTIFI SOUTH,PLANTAIN,2022,16.12,14.53,38.0,1229.5,True,5.9,6.915,0.26,0.205,4.81
AHAFO,BRONG AHAFO,ASUTIFI SOUTH,PLANTAIN,2023,16.35,14.53,38.0,1298.0,False,5.9,6.915,0.26,0.205,4.81
ASHANTI,ASHANTI,AHAFO ANO NORTH,PLANTAIN,2021,17.54,14.53,38.0,1491.0,False,5.7,6.915,0.26,3.49,4.81
ASHANTI,ASHANTI,AHAFO ANO NORTH,PLANTAIN,2022,17.67,14.53,38.0,1375.0,False,5.7,6.915,0.26,3.49,4.81
